Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
Team Leader (Business Manager) - Kudus,PT Amartha Mikro Fintek (Jakarta),Kudus,Kontrak/Temporer,,"Melakukan monitoring terhadap tim marketing/business partner dalam hal kinerja dan pencapaian target; Melakukan market review dan menjalankan strategi untuk mencapai target yang ditetapkan; Bertanggung jawab atas proses bisnis dalam hal SOP, baik secara administrasi maupun di lapangan.; Bertanggung jawab atas portofolio cabang/point secara kualitas dan kuantitas; Bertanggung jawab atas soliditas tim dan mampu me-manage konflik internal tim atas dasar peraturan perusahaan.; Pendidikan terakhir minimum Diploma; Memiliki pengalaman bertanggung jawab dalam memimpin tim min 2th; Berpengalaman memimpin lebih dari 5-10 anggota tim; Memiliki pengalaman min 2 tahun di Micro Finance sebagai Manager (Lembaga Keuangan Sistem Grameen diutamakan); Dapat menyusun strategi sales & marketing sebagai paduan tim untuk mencapai target; Mempunyai motor dan SIM C; Bersedia ditempatkan di seluruh wilayah Kudus; Disiplin Tinggi (berintegritas, jujur & transparan); Memiliki kekuatan komunikasi & berkolaborasi dengan tim; Memiliki semangat belajar yg tinggi terutama untuk menganalisa informasi dan data; Mudah beradaptasi pada perubahan dan berorientasi pada target; Mampu membangun budaya coaching untuk meningkatkan performa tim",https://id.jobstreet.com/id/job/88248424?type=standard&ref=search-standalone&origin=cardTitle
Business Manager (Kepala Cabang) - Tuban,PT Amartha Mikro Fintek (Jakarta),Tuban,Kontrak/Temporer,,"Melakukan monitoring terhadap tim marketing/business partner dalam hal kinerja dan pencapaian target; Melakukan market review dan menjalankan strategi untuk mencapai target yang ditetapkan; Bertanggung jawab atas proses bisnis dalam hal SOP, baik secara administrasi maupun di lapangan.; Bertanggung jawab atas portofolio cabang/point secara kualitas dan kuantitas; Bertanggung jawab atas soliditas tim dan mampu me-manage konflik internal tim atas dasar peraturan perusahaan.; Pendidikan terakhir minimum Diploma; Memiliki pengalaman bertanggung jawab dalam memimpin tim min 2th; Berpengalaman memimpin lebih dari 5-10 anggota tim; Memiliki pengalaman min 2 tahun di Micro Finance sebagai Manager (Lembaga Keuangan Sistem Grameen diutamakan); Dapat menyusun strategi sales & marketing sebagai paduan tim untuk mencapai target; Mempunyai motor dan SIM C; Bersedia ditempatkan di seluruh wilayah Tuban; Disiplin Tinggi (berintegritas, jujur & transparan); Memiliki kekuatan komunikasi & berkolaborasi dengan tim; Memiliki semangat belajar yg tinggi terutama untuk menganalisa informasi dan data; Mudah beradaptasi pada perubahan dan berorientasi pada target; Mampu membangun budaya coaching untuk meningkatkan performa tim",https://id.jobstreet.com/id/job/85688552?type=standard&ref=search-standalone&origin=cardTitle
Corporate Secretary,PT Asuransi Allianz Life Indonesia,Jakarta Raya,Full time,,"Preparing shareholders,board of commissioners, board of directors meeting and meeting minutes; fit and proper test for Directors and Commissioners.; Monitor and reporting based on company law, good corporate governance regulation and any other related regulations; Update on laws and regulations; Conduct training and socialization; Obtain, maintain, and renew licenses including branches, marketing offices and the related reporting to the regulators; Perform other tasks that are within the job scope, including handling short-term or long-term projects.; Minimum 3 years of experience in relevant job scope; University degree in Law / Business Law is preferable; Excellent communication skill; Able to work under deadline; Able to use AI related tools76043 | Legal & Compliance | Professional | Non-Executive | Allianz Indonesia | Full-Time | Permanent",https://id.jobstreet.com/id/job/85027581?type=standard&ref=search-standalone&origin=cardTitle
Cybersecurity Junior Consultant,EY,Jakarta Raya,Full time,,"Bachelor’s Degree or above in Information Systems, Computer Science, Electronics and Communications, or related disciplines.; Fresh graduates or min. 1-2 years experienced in Cybersecurity roles.; Outstanding team player; High level of motivation; Strong work ethic; Self-starting attitude; Independent and able to manage and prioritize workload; Ability to quickly and positively adapt to change; Excellent written and verbal communication, presentation, client service, and technical writing skills, coupled with excellent executive presence.; Significant experience in managing and delivering medium to large teams on complex programs and projects.; Assessing, designing, architecting, and developing solutions leveraging the latest technologies and trends to exceed the business requirements; Unifying, enriching, and delivering value to derive insights and opportunities; Leveraging in-house and partners - platforms and solutions as needed and recommending and building new platforms/solutions as required to exceed business requirements; Communicating findings, recommendations, and opportunities to improve platforms and solutions; Demonstrating a deep understanding of technology, concepts, tools, features, functions, and benefits of different approaches; Seeking out information to learn about emerging methodologies and technologies; Clarifying problems by driving to understand the true issue; Looking for opportunities for improving methods and outcomes; Collaborating, influencing, and building consensus through constructive relationships and effective listening; Solving problems by incorporating data into decision making; Proven track record of sales and delivery in a consulting context with established client relationships and experience; Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next; Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way; Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs; Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs",https://id.jobstreet.com/id/job/85868822?type=standard&ref=search-standalone&origin=cardTitle
Web Developer React JS,PT. KODE KOLEKTIF INDONESIA,Yogyakarta,Kontrak/Temporer,,"Develop and maintain scalable, reusable, and high-quality frontend components using React JS.; Translate UI/UX wireframes and mockups into responsive and efficient web interfaces.; Ensure cross-browser compatibility, responsiveness, and performance of applications across devices.; Utilize ES6+ features and TypeScript to write clean and maintainable code.; Work with state management libraries such as Redux and integrate with RESTful APIs.; Participate in code reviews and ensure code quality through rigorous testing (unit, integration, etc.).; Collaborate with backend developers, designers, and QA engineers to deliver seamless user experiences.; Follow best practices in code versioning using Git/Bitbucket.; Contribute to technical documentation and continuous improvement of the codebase; Minimum 3 years of professional experience in frontend development; Proficiency in HTML, CSS, Javascript, Typescript, ES6, and React JS.; Familiarity with React Libraries, including Redux.; xperience in Source Control using Bitbucket/GIT.; Ability to translate wireframes into high-quality code.; Capacity to design components for reusability and optimal performance.; Capability to create responsive designs.; Developing and maintaining code that meets standards, ensuring high quality, efficiency, and an exceptional customer experience.; Writing production-quality, rigorously tested code.; Willing to work onsite in Yogyakarta.",https://id.jobstreet.com/id/job/85144966?type=standard&ref=search-standalone&origin=cardTitle
Azure Cloud & AI Senior Consultant,EY,Jakarta Raya,Full time,,"Provide technical expertise and guidance in Azure and Azure AI to team members.; Lead and manage complex Azure and AI projects.; Troubleshoot and resolve technical issues.; Ensure quality and timely deliverables.; Collaborate with cross-functional teams to develop solutions.; Mentor junior team members and promote knowledge sharing.; Maintain ethical standards and open communication.; Bachelor/Master's degree in Computer Science or related field.; 5+ years of experience in a technical role with Azure and AI.; Certification in Azure Solutions Architect.; Experience in DevOps and CI/CD pipelines.; Strong problem-solving and analytical skills.; Excellent communication and teamwork abilities,; Proficiency in Azure and AI technologies and tools.; Strong ethical standards, collaboration skills, innovative thinking, and open-mindedness.; Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next; Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way; Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs; Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs",https://id.jobstreet.com/id/job/86753103?type=standard&ref=search-standalone&origin=cardTitle
SGS & SDS Smartfren,TRI ORION PROSPEKINDO,Bandung,,,Melakukan penjualan secara langsung kepada customer baik di outlet maupun melalui direct selling.; Gaji pokok Rp3.240.000.; Insentif penjualan.; Tunjangan komunikasi.; Tunjangan transportasi SDS Rp300.000.; Pelatihan/training.; SMA/D3/S1.; Mempunyai motor dan Android.; Komunikatif dan cheerful.; Menyukai dunia penjualan.; Fresh graduate boleh mendaftar.,https://id.jobstreet.com/id/job/88458245?type=standard&ref=search-standalone&origin=cardTitle
CUSTOM CLEARANCE INTERN,PT DHL Global Forwarding Indonesia,Jawa Barat,,,,https://id.jobstreet.com/id/job/86595665?type=standard&ref=search-standalone&origin=cardTitle
Junior Project Manager (AI/ ML) - Asian market,TSMG,Jakarta Raya,"Full time, Kontrak/Temporer",,"Lead end-to-end project management for technology and AI initiatives, including planning, execution, monitoring, and delivery.; Define project scope, objectives, deliverables, and timelines in collaboration with stakeholders.; Coordinate cross-functional teams (engineering, data science, product, operations) to ensure smooth execution.; Monitor risks, dependencies, and performance metrics, providing solutions to keep projects on track.; Communicate progress, challenges, and results clearly to stakeholders and senior leadership.; Ensure compliance with ethical, data privacy, and security standards in AI and tech projects.; Support adoption and integration of AI tools into existing processes and workflows.; Stay updated on emerging technologies and AI trends to provide strategic input for project planning.",https://id.jobstreet.com/id/job/87401051?type=standard&ref=search-standalone&origin=cardTitle
IT Audit Officer,PT Finansia Multi Finance (Kredit Plus),Kebayoran Lama,Full time,,"Lulusan S1 Teknologi Informasi lebih diutamakan; Memiliki pengalaman minimal 2 tahun sebagai Staf/Officer Audit; Memberikan rekomendasi dan insight untuk meningkatkan efektivitas, efisiensi, desain proses, serta kontrol bisnis yang selaras dengan risk appetite perusahaan.; Mendukung perencanaan audit dengan menyiapkan data untuk rencana audit tahunan serta melaksanakan penugasan/fieldwork audit berdasarkan risk assessment.; Menyusun dan menyampaikan temuan audit (fakta, akar masalah, kriteria, risiko, rekomendasi, dan tindak lanjut) kepada team leader secara tepat waktu.; Menyusun dan memelihara dokumentasi audit (working paper, program audit, bukti audit) serta alat monitoring untuk memastikan tindak lanjut rekomendasi oleh auditee.; Membangun kerja sama melalui rapat koordinasi, rencana pelatihan, serta sesi berbagi pengetahuan untuk menciptakan iklim kerja yang positif.",https://id.jobstreet.com/id/job/87401072?type=standard&ref=search-standalone&origin=cardTitle
Front End Developer,PT Finansia Multi Finance (Kredit Plus),Kebayoran Lama,Full time,,,https://id.jobstreet.com/id/job/87401074?type=standard&ref=search-standalone&origin=cardTitle
Responsible Pharmacist Quality Control,Glaxosmith Kline,Pulo Gadung,Full time,,"Ensure QC activities are incompliant with GSK Group Quality Standard as well as Local regulatory authority standard.; Responsible for availability and validity of GMP document within QC to comply with GSK or local regulatory standard.; Accountability for ensuring all activities is supported by the in place EHS systems and being operated in a manner that is safe and compliant with the EHS processes; Minimum education background in Bachelor degree of Pharmacy and is a registered Pharmacist; In-depth knowledge of lab related QMS, Pharmacopeia, safety requirements and pertinent local regulations; Technical expertise in a broad range of analytical methodologies for testing API and\or drug products.; Ability to compile and analyze data effectively; Verbal and written communication skills. Demonstrated ability to clearly communicate with peers, and external customers. Demonstrated expertise in scientific writing; Extensive knowledge of Regulatory compliance requirements (e.g. ICH, FDA 21st Century GMPs) as they relate to analytical methods, laboratory controls and pharmaceutical quality.; Willing to be employed under contractual employment for 1 year.",https://id.jobstreet.com/id/job/86620620?type=standard&ref=search-standalone&origin=cardTitle
Administration Staff,PT IBM Indonesia,Mengwi,Full time,,"Prepare, review, and organize company documents such as agreements, confidentiality documents, contracts, and internal policies.; Create summaries, checklists, notes, and standard references for internal use.; Maintain proper filing, tracking, and storage of documents (both digital and physical), including monitoring databases and key renewal or expiration dates.; Coordinate with internal teams to support documentation needs and information requests.; Communicate with external stakeholders such as government institutions, notary offices, and partner agencies when required.; Assist with preparing compliance paperwork, submissions, and official company filings.; Support due diligence activities by collecting, organizing, and validating required documentation.; Conduct basic research related to compliance regulations, company administration, and operational requirements.; Prepare reports to ensure internal documentation aligns with applicable standards and guidelines.; Handle general administrative duties and any ad-hoc tasks assigned by management.; Bachelor’s degree with 1–3 years of experience in administrative support, documentation handling, or a similar role.; Willing to work hybrid from Bali when required.; Excellent verbal and written communication skills in English.; Strong understanding of document management, compliance support, and company administration processes.; Demonstrated experience working with agreements, confidentiality documents, and contract handling support.; Strong organizational skills with exceptional attention to detail and accuracy.; Ability to work independently while maintaining confidentiality and discretion.; Proficient in Microsoft Office or Google Workspace; Experience working in or with a Singapore-based company.; Familiarity with requirements, documentation processes, or corporate regulations relevant to Singapore.",https://id.jobstreet.com/id/job/88693918?type=standard&ref=search-standalone&origin=cardTitle
Web Designer/Developer for Healthcare and Wellness Industry (US-Based/Remote),Paired Recruiting,Indonesia,Full time,,"Lead the design and development of a unique, custom website from scratch for a new brand.; Design and implement conversion-focused landing pages and marketing graphics.; Translate high-fidelity designs (created in Figma) into clean, functional code within a WordPress environment.; Handle the full build-out and maintenance of websites, including the selection, integration, and configuration of necessary plugins.; Expert proficiency withWordPressandWooCommercedevelopment.; Demonstrated ability to design professional-grade interfaces usingFigma.; Strong understanding of web UI/UX best practices and mobile-first design.; Proven ability to manage both the design and implementation phases of a web project, acting as a true design-developer.; Complete Website UI/UX; High-converting Landing Pages; Graphic Assets (web banners, icons, etc.); Email Templates; Social Media Assets; Basic Brand Identity Elements; Experience withshort-form video editing(a strong bonus, but not essential).; Exceptional Flexibility:Full-time remote position with a flexible timezone to promote work-life balance.; Creative Autonomy:Opportunity to own projects from concept to completion, including building unique digital platforms from the ground up.; Professional Growth:Exposure to the rapidly expanding medical and wellness industry and development opportunities in key e-commerce technologies.",https://id.jobstreet.com/id/job/88693936?type=standard&ref=search-standalone&origin=cardTitle
